Artist;Top Track;Popularity;Genre;Image-URL-L
Ed Sheeran;Perfect;92;Pop;https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Ed Sheeran;Shivers;92;Pop;https://i.scdn.co/image/ab67616d0000b2730ec1f3493edc0c888ff2d57c
Ed Sheeran;Shape of You;92;Pop;https://i.scdn.co/image/ab67616d0000b27383e9b06ccd219248b5301264
Ed Sheeran;Bad Habits;92;Pop;https://i.scdn.co/image/ab67616d0000b2734e03a288fd79707055759f9c
Ed Sheeran;Photograph;92;Pop;https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
Lady Gaga;Bloody Mary;88;Pop;https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
Lady Gaga;Shallow;88;Pop;https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
Lady Gaga;Poker Face;88;Pop;https://i.scdn.co/image/ab67616d0000b2739ff8dea75219ec13530d97f1
Lady Gaga;Always Remember Us This Way;88;Pop;https://i.scdn.co/image/ab67616d0000b273a21d45c2b041fdc3746a3534
Lady Gaga;Just Dance;88;Pop;https://i.scdn.co/image/ab67616d0000b2732e20e83e46a4830cf77e4ec8
Beyoncé;CUFF IT;89;Pop;https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7
Beyoncé;Crazy In Love (feat. Jay-Z);89;Pop;https://i.scdn.co/image/ab67616d0000b27393f61347a057b7c8f3f34426
Beyoncé;Halo;89;Pop;https://i.scdn.co/image/ab67616d0000b2737e926c757ef327785c54d60b
Beyoncé;BREAK MY SOUL;89;Pop;https://i.scdn.co/image/ab67616d00001e02ef5c4d1b49aa500905423be3
Beyoncé;AMERICA HAS A PROBLEM;89;Pop;https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7
The Weeknd;Creepin' (with The Weeknd & 21 Savage);99;Pop;https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
The Weeknd;Die For You (with Ariana Grande) - Remix;99;Pop;https://i.scdn.co/image/ab67616d0000b2738de12a274f6e1df6634f57ec
The Weeknd;Die For You;99;Pop;https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
The Weeknd;Starboy;99;Pop;https://i.scdn.co/image/ab67616d0000b273a07ff4ebd6264e7c124c3bdd
The Weeknd;Blinding Lights;99;Pop;https://i.scdn.co/image/ab67616d0000b273c464fabb4e51b72d657f779a
One Direction;Night Changes;87;Pop;https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4
One Direction;What Makes You Beautiful;87;Pop;https://i.scdn.co/image/ab67616d0000b2739cc9c826eb3bde09afa244f7
One Direction;Story of My Life;87;Pop;https://i.scdn.co/image/ab67616d0000b27377883a849a5078aae8ddb8ce
One Direction;18;87;Pop;https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4
One Direction;Right Now;87;Pop;https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1
Bruno Mars;When I Was Your Man;90;Pop;https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
Bruno Mars;Locked out of Heaven;90;Pop;https://i.scdn.co/image/ab67616d0000b273374ea1730985555f1b1f6328
Bruno Mars;Just the Way You Are;90;Pop;https://i.scdn.co/image/ab67616d0000b273995065098a5f43cd5cec6456
Bruno Mars;Talking to the Moon;90;Pop;https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b
Bruno Mars;Leave The Door Open;90;Pop;https://i.scdn.co/image/ab67616d0000b2730d18a58b311b58820ba4735f
Harry Styles;As It Was;91;Pop;https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14
